City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,bluff,-46.6,168.3333,52.81,98,90,14.05,NZ
1,boali,4.8005,18.1275,85.41,57,72,1.36,CF
2,oriximina,-1.7656,-55.8661,85.3,47,100,1.88,BR
3,bredasdorp,-34.5322,20.0403,72.43,33,99,17.16,ZA
4,la paz,-16.5,-68.15,46.38,81,40,2.3,BO
5,hobart,-42.8794,147.3294,55.26,80,40,8.05,AU
6,mulatupo,8.9492,-77.7652,75.38,92,100,4.47,PA
7,dunedin,-45.8742,170.5036,55.8,98,100,3.0,NZ
8,jamestown,42.097,-79.2353,28.71,61,100,20.71,US
9,albany,42.6001,-73.9662,32.41,81,93,8.05,US
10,lebu,-37.6167,-73.65,58.41,89,58,5.28,CL
11,lasa,46.6166,10.7002,54.01,64,92,7.7,IT
12,hithadhoo,-0.6,73.0833,81.57,78,41,14.88,MV
13,bairiki,1.3292,172.9752,82.4,74,75,8.05,KI
14,nemuro,43.3236,145.575,39.78,57,90,1.14,JP
15,khatanga,71.9667,102.5,-19.86,88,94,8.23,RU
16,seoul,37.5683,126.9778,47.8,76,0,3.44,KR
17,paamiut,61.994,-49.6678,23.02,72,100,1.14,GL
18,puerto ayora,-0.7393,-90.3518,69.55,88,24,5.99,EC
19,nassau,40.7507,-73.5829,37.08,73,0,5.75,US
20,rikitea,-23.1203,-134.9692,71.38,71,95,10.36,PF
21,flinders,-34.5833,150.8552,56.37,84,12,3.31,AU
22,kaitangata,-46.2817,169.8464,53.55,98,100,6.96,NZ
23,barrow,71.2906,-156.7887,33.82,93,100,12.66,US
24,thap than,15.4606,99.8917,79.7,79,99,2.64,TH
25,chirongui,-12.9319,45.1483,84.13,74,12,6.44,YT
26,port alfred,-33.5906,26.891,70.18,80,100,5.01,ZA
27,punta arenas,-53.15,-70.9167,51.91,43,75,26.46,CL
28,busselton,-33.65,115.3333,51.03,65,53,12.01,AU
29,stornoway,58.2093,-6.3865,48.16,88,75,12.66,GB
30,ahipara,-35.1667,173.1667,58.86,89,50,11.74,NZ
31,port elizabeth,-33.918,25.5701,70.09,68,75,9.22,ZA
32,chokurdakh,70.6333,147.9167,-5.6,99,100,5.23,RU
33,praia,14.9215,-23.5087,82.94,65,0,23.02,CV
34,ushuaia,-54.8,-68.3,53.26,40,40,13.8,AR
35,makinsk,52.6292,70.4169,3.25,99,56,2.53,KZ
36,newport,51.5877,-2.9984,54.09,76,82,15.84,GB
37,muravlenko,63.7898,74.523,12.07,93,100,23.8,RU
38,yulara,-25.2406,130.9889,85.6,26,60,17.9,AU
39,mataura,-46.1927,168.8643,54.14,93,78,4.45,NZ
40,mar del plata,-38.0023,-57.5575,67.82,96,100,11.5,AR
41,saldanha,-33.0117,17.9442,63.61,57,88,10.22,ZA
42,east london,-33.0153,27.9116,70.74,83,75,12.66,ZA
